id	filename	md5	size	state
c49b282b-0a3c-44f5-a7de-bef9e625a061	TCGA-A2-A0CT.FDF38AA6-DC65-4043-8277-71BAE47902B1.PDF	cc2632899dbd97c6b5ecefdeed18f37e	150945	validated
5feef0a9-4a92-421b-9fd3-6cfe9b28ace0	TCGA-A8-A08A.6D2212CE-C80F-4545-A895-3F1B6E4C6DB6.PDF	4a550a0e2e2c70dfc746903ed7ea9f9e	48274	validated
1dbf76d7-af0e-448c-b19b-61e97ac4a29d	TCGA-LL-A6FQ.5C3D9179-7434-4776-A2FF-68CEA0149C68.PDF	cb0f8ae6493a9a285faf242ac195166b	247342	validated
2e12ab81-fc47-4e4c-9c90-e8dc0b016fac	TCGA-B6-A0WS.36AE47A6-B881-4C1D-8436-EB65783243CF.PDF	484364c4c94b2a1173fbe34b7c565832	88748	validated
1eaf1fb5-fa16-4242-9e4b-66279d2d3df5	TCGA-D8-A1JI.EF2DC6FB-F026-4025-B148-DF07194914AB.PDF	deb9157f8fe2027bc5ad8a2d68a55b4d	76111	validated
1fef7be0-0d6d-415e-88b5-3b9fc07dc492	TCGA-A2-A04X.F114D078-5F03-47F8-82AE-B8A21C2F9D31.PDF	3cc2bf5f82c98d84f11a988a27fa25e3	184799	validated
8adcbf51-dde0-47f2-ab5c-34582e14526e	TCGA-AO-A1KS.0FB93D92-81F6-4241-9094-4AABF70E6A0F.PDF	4bcb2f6f7aa0e16c8ef3793831ebd655	287608	validated
024b6882-c066-47f7-a221-741b7a1ba992	TCGA-E9-A243.742A4812-9EB1-4348-996E-3F1AD7FA3E5D.PDF	406f490fbfb6d4ba541d105ce968df26	59105	validated
ec02d707-e5b5-4584-9d9d-040b9050ae70	TCGA-AC-A3YI.52CEF542-0F5B-4660-8746-2CF4A27B214E.PDF	c346c7a35594b167c2ab2ebe631e2b1a	274251	validated
b2926547-f514-441d-8729-4e76c9ced1b1	TCGA-AR-A5QQ.511282C5-02AC-4105-8B52-5BBEC8B45D22.PDF	44b2d96ea0da864f94bfa6c56a2c3c70	69843	validated
2a80a5f0-4457-41b8-afcf-53039ebb64de	TCGA-D8-A1XF.FCBB54EB-6FBF-4DC4-B4D5-DB533687FA58.PDF	1b46ee3592ec5c5edfe999ad94a4096c	56683	validated
0723eb55-35d8-47d9-852d-14be79e17a77	TCGA-A8-A0A7.E306BE26-0358-4BE4-AEF6-AD42CC0DA020.PDF	1f0e6e5465780da4005c5d703324b7f8	90963	validated
902f9c24-8b45-4116-9f0f-ab1b17eccfc2	TCGA-A7-A0CE.8A853D7F-979F-4112-9659-1FDE84EF5102.PDF	39f96e301abe755463c45eed87da1987	112933	validated
